0,0,433
0,0,883
0,220,433
0,220,883
2,30,70
2,30,520
1,420,60
0,330,433
0,330,883
0,440,433
0,440,883
0,660,433
0,660,883
0,770,433
0,770,883
0,990,433
0,990,883
0,1100,433
0,1100,883
0,1210,433
0,1210,883
0,1430,433
0,1430,883
0,1540,433
0,1540,883
0,0,120
0,0,570
0,220,120
0,220,570
0,330,120
0,330,570
0,440,120
0,440,570
0,660,120
0,660,570
0,770,120
0,770,570
0,990,120
0,990,570
0,1100,120
0,1100,570
0,1210,120
0,1210,570
0,1430,120
0,1430,570
0,1540,120
0,1540,570
0,0,360
0,0,810
0,110,360
0,110,810
0,550,360
0,550,810
0,880,360
0,880,810
0,1320,360
0,1320,810
0,1430,360
0,1430,810
0,1540,360
0,1540,810
0,0,280
0,0,730
0,220,280
0,220,730
0,330,280
0,330,730
0,440,280
0,440,730
0,660,280
0,660,730
0,770,280
0,770,730
0,990,280
0,990,730
0,1100,280
0,1100,730
0,1210,280
0,1210,730
0,1430,280
0,1430,730
0,1540,280
0,1540,730
0,110,200
0,110,650
0,330,200
0,330,650
0,550,200
0,550,650
0,880,200
0,880,650
0,1100,200
0,1100,650
0,1320,200
0,1320,650
2,50,600
2,50,1050
2,30,230
2,30,680
2,360,150
2,360,600
2,740,230
2,740,680
2,1530,230
2,1530,680
2,1130,150
2,1130,600
2,1530,70
2,1530,520
